100,100,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16384,2,256,32,32768,2,256,4,16384,16384,8192,256,256,4,2,256,256,32,32,256,32768,0,16384,8192,32,4,2,4,2,4,2,4,2,4,8192,32,4,8192,32,256,256,4,2,32,32,4,16384,2,256,4,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,64,8,1,32,32768,16,128,8,128,512,8192,8,1,512,1,8,1,4,2,64,256,256,8,8192,256,64,512,1,8,1,512,4096,16,1,32,32,64,32,32,512,1,64,64,32,4,1,8,128,512,4096,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,128,4,2,4,2,4,16,1,4,128,64,32,4,8192,64,4,2,256,8,1,32,8,1,256,4,128,4,16,2,256,32,64,32768,16,2,4,8192,4,16384,2,1024,4,2,256,32768,1,32,256,64,64,32768,0,0,0,0,0,0,0,0,0,0
2,32,4,8192,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,1,8,16,16,1,512,1,64,4,16,128,4,16384,1,4,2,512,1,64,32,32,4,2,256,64,64,64,8,1,8,1,32,256,256,8,16,128,4,1,64,8,1,8,128,8,2,256,256,1024,32,256,4,0,0,0,0,0,0,0,0,0,0
4096,16384,1,256,512,8192,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,2,4,2,512,1,4,16,2,4,1,8,128,8,1,4,1,8,128,4,2,256,4,16,1,64,32,32,4,2,32,4,16384,2,2048,64,4,1,512,1,4,2,4,2,32768,128,256,512,16,16,1,4,16,4096,0,0,0,0,0,0,0,0,0,0
16384,1,32,8,16,16384,16,16384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,512,1,8,16,2,8,1,8,128,256,4,1,4,2,1024,32,4,16,128,8,1,512,1,32,4,2,4,16,16,16384,1,1024,8,16,2,64,32768,1,4,16,16,4096,1,4,16,1,64,2048,1024,4,16,1,256,4,0,0,0,0,0,0,0,0,0
1,256,32,256,64,64,512,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,64,256,4,1,8,2,256,4,128,64,64,4,1,512,1,32,8,16,1,256,4,128,32,4,128,64,1024,512,16,128,4,128,256,512,16,2,4,2,512,16,16,2,32,8,1,256,256,8,1,2048,512,2,8,16,0,0,0,0,0,0,0,0,0
16384,16,16384,128,4,2,64,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,128,8,2,8,1,4,16384,1,8,16,128,4,8192,8,2,512,2,32,256,512,2,8,1,512,2,512,1,32,2048,64,512,16,128,8,16,1,8,16,16,1,512,1,8,1,32,256,4,16,1,4,2,8,1,512,2,8,0,0,0,0,0,0,0,0,0
1,8,16,1,512,1,256,64,8,16384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,8,2,64,256,32,8,1,32,256,8,1,8,0,0,1,64,8,2,8,1,64,32,32,64,64,8,2,32,64,32,8,16,1,32,8,2,4,1,64,32,512,2,32,4,8192,8,1,512,2,8,1,32,32,8,1,4,2,256,4,0,0,0,0,0,16384
8192,32,512,16384,1,4,128,32,256,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,32,512,2,8,2,32,256,256,8,0,0,0,0,0,0,0,0,1,32,4,2,256,32,4,2,32,8,2,256,32,4,128,32,256,256,512,128,4,2,256,8,128,4,1,32,4,2,512,1,256,32768,16384,2,256,32768,128,8,16,128,32,256,4,2,4,16
